Full Name,Specialty,Hospital Name,Area,Phone,Source,Raw ID
Prof. Dr. Samia Islam,Cardiologist,BSMMU Dhaka,Khilgaon,+8801115921249,directory,dummy-1
Dr. Jannat Kabir,Cardiologist,Evercare Hospital Bashundhara,Malibagh,+8801984789611,directory,dummy-2
Prof. Dr. Afreen Hossain,Neurologist,Dhaka Medical College Hospital,Khilgaon,+8801365766156,directory,dummy-3
Dr. Farhana Chowdhury,Neurologist,Evercare Hospital Bashundhara,Mirpur,+8801711116152,directory,dummy-4
Prof. Dr. Afreen Rahman,Endocrinologist,National Heart Foundation Mirpur,Jatrabari,+8801851656049,directory,dummy-5
Dr. Sabbir Khan,Endocrinologist,United Hospital Dhaka,Old Dhaka,+8801832731585,directory,dummy-6
Prof. Dr. Tarek Chowdhury,Dermatologist,National Heart Foundation Mirpur,Uttara,+8801689980940,directory,dummy-7
Dr. Fahim Chowdhury,Dermatologist,Labaid Hospital Dhanmondi,Mohakhali,+8801502296120,directory,dummy-8
Prof. Dr. Shahriar Kabir,Psychiatrist,Popular Diagnostic Centre Dhanmondi,Malibagh,+8801675254599,directory,dummy-9
Dr. Shahriar Rahman,Psychiatrist,Ibn Sina Hospital Dhanmondi,Mirpur,+8801901476797,directory,dummy-10
Prof. Dr. Samia Chowdhury,Pulmonologist,Popular Diagnostic Centre Dhanmondi,Jatrabari,+8801156149784,directory,dummy-11
Dr. Nadim Rahman,Pulmonologist,BSMMU Dhaka,Mohakhali,+8801943633625,directory,dummy-12
Prof. Dr. Samia Hasan,Nephrologist,United Hospital Dhaka,Khilgaon,+8801837159381,directory,dummy-13
Dr. Mahmud Islam,Nephrologist,Square Hospital Dhaka,Mirpur,+8801530561289,directory,dummy-14
Prof. Dr. Nargis Kabir,Gastroenterologist,Square Hospital Dhaka,Banani,+8801302503461,directory,dummy-15
Dr. Afreen Ahmed,Gastroenterologist,Evercare Hospital Bashundhara,Old Dhaka,+8801531388458,directory,dummy-16
Prof. Dr. Nadim Chowdhury,Rheumatologist,National Heart Foundation Mirpur,Old Dhaka,+8801909906659,directory,dummy-17
Dr. Farhana Islam,Rheumatologist,Holy Family Red Crescent Hospital,Mohakhali,+8801859925796,directory,dummy-18
Prof. Dr. Afreen Chowdhury,Oncologist,Evercare Hospital Bashundhara,Dhanmondi,+8801288922813,directory,dummy-19
Dr. Mahmud Rahman,Oncologist,Square Hospital Dhaka,Gulshan,+8801838237203,directory,dummy-20
Prof. Dr. Tarek Khan,Orthopedic Surgeon,Square Hospital Dhaka,Old Dhaka,+8801420786509,directory,dummy-21
Dr. Afreen Islam,Orthopedic Surgeon,National Heart Foundation Mirpur,Jatrabari,+8801760864162,directory,dummy-22
Prof. Dr. Jannat Ahmed,General Surgeon,Dhaka Medical College Hospital,Uttara,+8801577417219,directory,dummy-23
Dr. Sabbir Ahmed,General Surgeon,Square Hospital Dhaka,Banani,+8801969668100,directory,dummy-24
Prof. Dr. Farhana Khan,Pediatrician,Square Hospital Dhaka,Mirpur,+8801173135793,directory,dummy-25
Dr. Nadim Miah,Pediatrician,Evercare Hospital Bashundhara,Dhanmondi,+8801905574104,directory,dummy-26
Prof. Dr. Shahriar Rahman,Gynecologist,United Hospital Dhaka,Gulshan,+8801803305295,directory,dummy-27
Dr. Samia Rahman,Gynecologist,BSMMU Dhaka,Khilgaon,+8801663719097,directory,dummy-28
Prof. Dr. Tarek Islam,Ophthalmologist,Ibn Sina Hospital Dhanmondi,Gulshan,+8801218736482,directory,dummy-29
Dr. Afreen Kabir,Ophthalmologist,Holy Family Red Crescent Hospital,Mirpur,+8801859733157,directory,dummy-30
Prof. Dr. Samia Ahmed,ENT Specialist,National Heart Foundation Mirpur,Mohakhali,+8801149993700,directory,dummy-31
